Issue,Precision,Recall,F1
3,0.5,0.6666666666666666,0.5714285714285714
101,0.5,0.06666666666666667,0.11764705882352941
144,0.0,0.0,0.0
153,0.5,1.0,0.6666666666666666
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,1.0,1.0,1.0
306,1.0,0.1,0.18181818181818182
323,0.5,0.3333333333333333,0.4
626,1.0,0.5,0.6666666666666666
786,0.0,0.0,0.0
789,1.0,0.25,0.4
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,0.0,0.0,0.0
1371,0.6666666666666666,0.5,0.5714285714285714
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,0.2,1.0,0.3333333333333333
1764,0.0,0.0,0.0
1774,1.0,0.14285714285714285,0.25
1922,0.5,1.0,0.6666666666666666
2303,0.5,0.3333333333333333,0.4
2348,0.0,0.0,0.0
2612,0.0,0.0,0.0
2669,0.0,0.0,0.0
2809,0.0,0.0,0.0
2830,0.25,1.0,0.4
3009,0.3333333333333333,1.0,0.5
3046,1.0,0.5,0.6666666666666666
3195,0.0,0.0,0.0
3233,1.0,0.3333333333333333,0.5
3630,0.3333333333333333,1.0,0.5
3813,1.0,0.14285714285714285,0.25
4154,1.0,0.125,0.2222222222222222
4217,0.0,0.0,0.0
4368,0.5,0.5,0.5
4472,0.0,0.0,0.0
4507,0.0,0.0,0.0
4965,0.5,0.5,0.5
5062,0.0,0.0,0.0
5490,1.0,1.0,1.0
5556,0.0,0.0,0.0
6168,0.0,0.0,0.0
6180,1.0,1.0,1.0
6184,0.0,0.0,0.0
6877,0.3333333333333333,1.0,0.5
6879,0.3333333333333333,1.0,0.5
6932,0.5,1.0,0.6666666666666666
7186,0.3333333333333333,1.0,0.5
7222,0.42857142857142855,1.0,0.6
7255,0.0,0.0,0.0
7274,1.0,1.0,1.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,0.0,0.0,0.0
8485,0.0,0.0,0.0
63874,1.0,1.0,1.0
72610,0.0,0.0,0.0
82275,0.5,0.16666666666666666,0.25
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
