config,n_features,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,time_sec
01_SBERT_only,6,44.69,44.69,44.69,51.81,41.42,41.15,49.4,45.46,41.05,55.8
02_SVD_only,5,25.99,25.99,25.99,20.0,46.54,24.11,23.49,37.88,25.26,38.8
03_BM25_only,5,37.85,37.85,37.85,42.28,42.19,35.94,37.47,44.32,33.52,50.6
04_Meta_only,6,38.73,38.73,38.73,37.18,45.08,37.35,35.85,45.31,36.32,34.7
05_SBERT+Meta,12,64.84,64.84,64.84,64.21,67.75,58.94,63.05,68.32,56.57,54.3
06_SBERT+SVD,11,44.93,44.93,44.93,41.62,54.82,40.71,42.47,51.97,40.98,59.5
07_SBERT+BM25,11,49.59,49.59,49.59,58.47,46.88,45.11,51.9,44.49,40.5,59.4
08_SBERT+SVD+Meta,17,65.9,65.9,65.9,71.85,62.36,63.18,67.33,64.67,60.85,51.1
09_SBERT+BM25+Meta,17,71.22,71.22,71.22,77.31,61.47,62.75,69.63,62.23,58.57,50.5
10_SVD+BM25+Meta,16,62.74,62.74,62.74,55.99,68.82,57.8,55.99,65.68,56.77,43.5
11_SBERT+SVD+BM25,16,49.79,49.79,49.79,46.65,57.22,45.61,47.79,53.86,45.15,61.1
12_ALL_v6,22,70.05,70.05,70.05,73.23,72.35,68.22,66.57,70.83,64.19,55.8
